"","RESPNO","URBRUR","REGION","EA_SVC_A","EA_SVC_B","EA_SVC_C","EA_SVC_D","EA_FAC_A","EA_FAC_B","EA_FAC_C","EA_FAC_D","EA_FAC_E","EA_SEC_A","EA_SEC_B","EA_SEC_C","EA_SEC_D","EA_SEC_E","EA_ROAD","NOCALL_1","NOCALL_2","NOCALL_3","NOCALL_4","NOCALL_5","NOCALL_6","NOCALL_7","PREVINT","THISINT","ADULT_CT","CALLS","DATEINTR","STRTIME","Q1","Q2","Q2OTHER","Q3A","Q3B","Q4","Q5A","Q5B","Q6A","Q6B","Q7","Q8A","Q8B","Q8C","Q8D","Q8E","Q9A","Q9B","Q10A","Q10B","Q10C","Q11","Q11OTHER","Q12","Q12OTHER","Q13A","Q13B","Q13C","Q13D","Q14","Q15","Q16","Q17A","Q17B","Q17C","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25A","Q25B","Q26A","Q26B","Q26C","Q26D","Q26E","Q27","Q28","Q29A","Q29B","Q29C","Q30A","Q30B","Q30C","Q30D","Q31A","Q31B","Q31C","Q32","Q33","Q34","Q35","Q36","Q37","Q38","Q39","Q40","Q41","Q42","Q43","Q44","Q45","Q46A","Q46B","Q46C","Q46D","Q47A","Q47B","Q47C","Q47D","Q47E","Q48A","Q48B","Q48C","Q49","Q50","Q51","Q52A","Q52B","Q52C","Q52D","Q52E","Q53","Q54","Q55","Q56A","Q56B","Q56C","Q56D","Q56E","Q56F","Q56G","Q56H","Q56I","Q57","Q58","Q59A","Q59A1_KEN","Q59A2_KEN","Q59B","Q59C","Q59D","Q59E","Q59F","Q59F1_KEN","Q59F2_KEN","Q59G","Q59H","Q59I","Q59J","Q59K_KEN","Q59L_KEN","Q60A","Q60A1_KEN","Q60B","Q60C","Q60D","Q60E","Q60F","Q60G","Q61A","Q61B","Q61C","Q61D","Q61E","Q61F","Q62A","Q62B","Q63PT1","Q63PT1OTHER","Q63PT2","Q63PT2OTHER","Q63PT3","Q63PT3OTHER","Q64","Q65A","Q65B","Q65C","Q65D","Q65E","Q65F","Q65G","Q65H","Q65I","Q65J","Q65K","Q65L","Q65M","Q65N","Q65O","Q65P","Q65Q_KEN","Q65R_KEN","Q66A","Q66B","Q66C","Q66D","Q66E","Q67A","Q67B","Q67C","Q67D","Q67E","Q68A","Q68B","Q68C","Q68D","Q68E","Q68F","Q69A","Q69B","Q69C","Q69D","Q69E","Q69F","Q70A","Q70B","Q70C","Q71A","Q71A1_KEN","Q71B","Q71C","Q72A","Q72B","Q72C","Q72C1_KEN","Q73A","Q73B","Q73C","Q73D","Q73E","Q74","Q75A","Q75B","Q75C","Q76A","Q76B","Q77","Q77OTHER","Q78","Q79A_KEN","Q79A_KEN_OTHER","Q79B_KEN","Q79B_KEN_OTHER","Q80A_KEN","Q80B_KEN","Q80C_KEN","Q81AA_KEN","Q81AB_KEN","Q81AC_KEN","Q81AD_KEN","Q81AE_KEN","Q81B_KEN","Q81C_KEN","Q82A_KEN","Q82B_KEN","Q82C_KEN","Q82D_KEN","Q82E_KEN","Q82F_KEN","Q82G_KEN","Q82H_KEN","Q82I_KEN","Q82J_KEN","Q82K_KEN","Q82L_KEN","Q82M_KEN","Q82N_KEN","Q82O_KEN","Q83AA_KEN","Q83AB_KEN","Q83AC_KEN","Q83AD_KEN","Q83AE_KEN","Q83AF_KEN","Q83B_KEN","Q84","Q84OTHER","Q85A","Q85B","Q85C","Q86A","Q86B","Q86C","Q86D","Q86E","Q86F","Q87","Q88A","Q88B","Q88C","Q88D_KEN","Q88E_KEN","Q89A","Q89B","Q89BOTHER","Q90A","Q90B","Q90C","Q91A","Q91B","Q92","Q93A","Q93B","Q93C","Q94","Q95A","Q95B","Q96","Q97","Q98A","Q98AOTHER","Q98B","Q99","Q99OTHER","Q100","ENDTIME","LENGTH","Q101","Q102","Q102OTHER","Q103","Q103OTHER","Q104","Q105","Q106","Q107A","Q107B","Q107C","Q107D","Q107E","Q108","Q110A","Q110B","Q110C","Q110D","Q110E","Q110F","Q112","Q113","Q114","Q115","Q116","Q116OTHER","Q117","withinwt"
"370","KEN0370",2,301,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,997,997,997,997,997,997,997,2,1,3,1,2011-11-15,51480,70,300,"",2,2,2,4,4,2,2,1,1,1,0,0,3,1,1,1,1,1,1,"",3,"CHIEF",3,0,0,0,3,2,1,2,2,4,4,4,1,4,1,3,4,1,3,3,3,1,1,0,1,1,0,1,0,2,0,2,0,1,1,1,2,3,1,4,1,1,1,1,4,1,2,1,2,3,5,9,2,10,99,7,6,5,8,5,5,5,1,1,1,1,1,0,1,0,3,0,2,2,2,0,0,0,2,1,0,2,2,3,3,1,3,2,3,1,1,2,1,1,3,1,3,3,0,3,1,2,2,2,2,2,2,2,2,7,1,2,7,0,2,2,300,"FOOD PRICE",17,"",16,"",0,4,1,1,1,1,1,3,3,3,1,1,1,3,3,3,3,3,3,1,3,3,3,1,2,2,2,3,3,3,3,0,0,3,3,3,3,3,3,3,2,0,0,0,4,3,4,3,0,1,3,3,0,0,0,7,1,0,3,3,3,3,3,8,"",1,6,"",4,"PRESIDENT",1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,1,300,"",2,1,5,1,0,1,0,1,0,0,2,2,2,2,2,1,302,"",1,0,0,0,0,1,4,0,1,4,3,2,3,3,5,"",4,302,"",1,54900,57,1,1,"",300,"",1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,"KEN13",28,1,1,300,"",6,0.67649287
"371","KEN0371",2,301,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,997,997,997,997,997,997,997,2,1,2,1,2011-11-15,46920,36,300,"",1,1,2,4,4,1,1,1,0,1,1,0,4,4,4,3,0,1,4,"",1,"",4,3,0,0,0,0,1,4,4,4,4,4,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,3,3,4,1,1,2,1,2,4,4,4,4,3,1,7,7,0,10,99,10,99,0,10,4,1,1,4,1,4,3,3,9,9,9,3,2,0,3,3,3,3,3,3,3,3,9,8,2,3,0,3,1,9,2,0,0,0,2,1,1,1,1,9,3,3,3,3,3,3,3,3,3,0,0,0,0,0,2,0,0,3,"",13,"",32,"",2,1,1,1,1,1,4,4,4,1,1,3,4,4,4,4,9,4,4,1,3,3,1,4,1,1,1,3,1,1,1,3,0,3,3,3,3,1,3,3,3,0,0,0,4,1,1,1,3,1,0,0,0,0,0,0,7,3,3,3,4,1,1,9999,"",4,2,"",7,"",3,1,1,4,3,3,3,3,1,3,3,3,2,3,3,2,1,1,1,1,9,9,1,1,1,4,4,3,3,1,1,1,300,"",1,5,4,1,1,1,1,1,0,0,3,1,1,1,3,1,302,"",1,0,0,0,0,1,4,1,1,2,3,2,3,4,2,"",4,302,"",1,50100,53,1,1,"",300,"",1,1,2,0,0,0,0,0,0,1,1,1,1,1,1,"KEN14",28,2,1,300,"",8,0.67649287
"372","KEN0372",2,301,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,997,997,997,997,997,997,997,1,2,2,1,2011-11-15,51000,26,300,"",1,1,2,4,4,3,3,1,2,2,0,1,4,4,4,1,0,-1,3,"",2,"",4,0,0,0,0,0,4,4,9,4,1,4,3,1,1,1,1,0,2,4,1,0,0,0,1,1,0,0,0,0,0,2,0,5,1,1,9,1,4,1,2,1,1,1,9,4,9,9,9,9,99,99,99,99,99,99,99,99,99,5,1,1,1,9,9,9,3,2,9,9,3,1,1,3,0,2,3,3,3,3,9,9,9,9,3,3,3,1,3,3,0,1,0,3,0,1,3,3,1,3,2,2,2,3,3,9,0,0,0,0,0,0,0,0,0,0,1,"",20,"",17,"",3,1,1,1,1,1,1,4,4,1,1,4,4,4,2,9,2,2,4,1,1,1,1,1,3,1,1,2,1,0,0,0,0,3,3,0,0,0,2,3,0,0,0,0,4,2,3,1,3,3,3,3,1,1,1,7,0,0,4,4,9,2,2,2,"",4,9999,"",3,"",2,0,9,9,9,9,9,9,4,4,3,2,1,3,3,1,1,1,1,1,1,9,1,1,3,9,9,9,9,9,9,1,300,"KIKUYU",3,3,5,1,1,0,0,0,0,0,3,1,1,0,2,0,9997,"",1,0,0,0,0,1,4,1,1,2,3,2,0,2,5,"",4,302,"",1,54180,53,2,1,"",300,"",1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,"KEN14",28,2,1,300,"",8,0.67649287
"373","KEN0373",2,301,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,2,997,997,997,997,997,997,1,2,3,2,2011-11-15,47700,55,300,"",1,1,2,2,2,3,3,1,2,0,2,2,3,0,4,1,0,1,5,"",4,"",4,0,0,0,2,1,2,4,4,4,3,3,2,3,3,2,4,3,0,0,4,0,0,0,1,4,1,0,0,0,0,0,0,4,1,4,3,3,2,2,3,3,2,3,2,4,4,3,4,3,5,10,10,10,5,99,99,99,99,2,4,4,2,3,3,2,2,2,2,2,2,0,0,3,2,2,2,2,2,0,0,0,2,4,3,1,3,2,9,2,2,2,1,3,2,2,3,2,2,3,0,2,1,1,1,2,2,1,0,0,0,0,0,0,0,0,32,"",13,"",9996,"",3,1,1,1,1,1,3,3,3,3,1,3,3,3,3,3,3,3,4,1,1,1,1,1,2,2,2,4,4,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,2,3,2,1,3,3,0,1,1,0,1,1,0,3,3,3,1,3,2,"",2,6,"",9999,"",3,0,3,4,4,3,3,1,2,3,3,3,2,3,4,2,3,4,2,2,2,3,2,3,3,9,9,9,9,9,9,1,300,"",0,3,4,1,1,1,1,0,0,0,3,3,3,2,3,0,9997,"",1,0,0,0,0,1,2,0,1,2,2,2,2,2,13,"",4,302,"",1,50400,45,2,1,"",300,"",1,1,5,0,0,0,0,0,1,1,2,1,2,1,1,"KEN15",32,1,1,300,"",6,0.67649287
"374","KEN0374",2,301,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,997,997,997,997,997,997,997,2,1,4,1,2011-11-15,51300,-1,300,"",4,4,4,4,4,3,3,1,0,2,0,0,2,0,0,0,0,7,7,"",1,"",4,0,0,0,3,1,2,4,4,4,3,3,3,2,1,3,4,0,2,3,3,0,3,0,1,4,1,1,0,0,0,0,2,1,1,2,3,3,2,3,2,2,3,3,3,1,2,2,4,2,10,8,0,10,10,9,99,99,99,4,4,4,2,3,3,2,2,2,2,0,2,2,0,0,0,0,0,2,3,0,0,0,4,2,3,0,3,3,3,3,3,3,0,3,3,3,3,3,3,3,1,2,2,2,2,2,2,2,3,2,0,2,0,2,0,0,13,"",32,"",14,"",3,3,3,3,1,1,3,3,3,3,3,1,3,3,4,3,3,4,4,1,1,1,1,1,1,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3,3,0,0,0,4,2,4,2,3,3,3,3,0,0,0,0,0,0,4,4,4,3,3,6,"",2,6,"",6,"",3,2,3,3,3,2,4,2,2,2,4,4,4,4,4,1,4,4,2,4,4,4,4,5,4,3,2,2,2,2,2,1,300,"",2,5,4,0,0,0,0,1,1,0,3,3,3,3,3,0,9997,"",1,0,0,0,0,1,3,3,1,2,3,2,3,5,5,"",4,302,"",1,54300,50,1,1,"",300,"",1,1,4,0,0,0,0,0,0,1,1,1,1,1,1,"KEN15",32,1,1,300,"",6,0.67649287
"375","KEN0375",2,301,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,997,997,997,997,997,997,997,2,1,2,1,2011-11-15,46500,51,300,"",1,1,9,4,4,9,9,1,2,0,3,2,3,0,0,0,0,7,5,"",1,"",4,0,0,0,2,1,1,4,4,4,4,4,2,4,1,4,1,0,0,2,3,0,0,0,2,4,1,1,0,0,0,0,0,1,5,1,3,5,4,4,4,5,1,5,4,1,1,1,4,3,5,6,7,10,99,99,99,99,99,4,1,4,1,1,5,0,2,0,0,0,2,3,9,2,2,2,2,2,0,0,0,0,2,2,3,2,2,3,3,9,3,2,2,2,2,0,3,9,9,3,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,3,"",4,"",8,"",3,1,1,1,1,1,4,3,4,3,1,1,4,4,4,4,3,3,9,9,9,9,9,9,1,1,1,4,4,7,7,7,7,7,7,1,3,0,0,3,0,0,0,0,3,3,4,3,3,3,3,3,0,0,0,1,1,9,4,4,4,3,3,3,"",1,6,"",9999,"",1,0,1,9,3,9,9,9,9,1,3,3,1,3,2,1,3,1,3,3,3,3,1,4,3,9,9,9,9,9,9,1,300,"",1,5,5,1,1,1,0,1,0,0,3,3,2,0,1,0,9997,"",1,0,0,0,0,1,2,2,1,2,3,2,1,4,5,"",4,9999,"",1,50280,63,1,1,"",4,"",2,1,1,0,0,0,0,0,1,1,1,1,1,1,1,"KEN16",26,1,2,305,"",8,0.67649287
"376","KEN0376",2,301,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,997,997,997,997,997,997,997,1,2,2,1,2011-11-15,51360,30,300,"",1,1,2,5,3,9,9,1,0,2,2,1,3,0,0,0,0,7,4,"",1,"",4,0,0,0,0,0,1,4,4,4,4,9,4,4,1,5,2,2,3,3,0,0,0,3,3,4,1,1,0,0,0,0,0,5,4,1,3,3,1,1,9,3,2,9,4,1,2,2,1,3,4,4,1,10,99,99,99,99,99,9,2,9,1,1,9,1,2,0,9,0,2,0,9,3,3,3,3,3,0,1,1,1,2,4,2,2,2,0,2,2,0,0,0,0,0,0,3,2,2,2,2,3,2,2,2,3,2,2,0,1,0,0,0,0,0,0,3,"",4,"",8,"",3,1,1,1,1,1,4,4,4,4,1,1,3,3,3,3,3,3,4,2,3,4,1,1,1,3,1,4,4,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,4,1,1,1,3,3,3,3,1,0,0,0,0,0,4,4,4,2,2,2,"",1,4,"",3,"MARTHA KARUA",1,0,1,9,2,4,4,9,9,3,5,5,1,1,5,1,3,1,1,1,1,4,1,4,3,4,4,4,5,4,4,1,300,"",0,1,2,1,1,1,1,0,1,0,3,0,2,1,0,1,302,"",1,0,0,0,0,1,2,1,1,2,2,2,1,5,5,"",2,302,"",9999,54600,54,2,1,"",4,"",1,1,1,0,0,0,0,0,1,1,1,1,1,2,1,"KEN16",26,1,2,305,"",8,0.67649287
"377","KEN0377",1,301,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,997,997,997,997,997,997,997,2,1,3,2,2011-11-12,37740,40,300,"",1,1,5,4,4,3,3,1,0,0,0,4,4,0,0,2,0,0,4,"",9999,"",4,4,0,0,2,0,4,4,4,4,4,2,4,4,4,2,2,0,0,2,0,0,0,0,1,4,0,0,0,2,0,2,0,1,1,2,3,4,4,4,9,1,4,3,1,4,3,4,2,1,7,4,2,9,99,7,8,4,99,5,5,5,4,1,4,1,0,3,2,0,2,2,0,0,0,3,9,3,3,0,3,9,8,8,3,0,3,3,3,3,3,9,0,3,3,1,3,3,9,3,0,3,3,2,0,3,9,9,1,7,0,0,0,1,3,2,29,"",1,"",14,"",3,1,1,1,1,1,4,3,3,4,1,3,1,4,4,4,3,4,4,1,1,1,1,1,1,2,1,4,1,0,0,2,2,3,3,0,2,3,3,3,3,0,0,0,4,1,3,3,4,4,4,4,0,0,9,1,7,0,4,4,4,3,3,9999,"",4,4,"",9999,"",2,0,4,5,5,3,9,9,4,1,2,2,1,4,5,1,5,5,1,1,9,5,2,4,9,9,9,9,9,9,9,1,300,"",1,5,5,1,1,1,0,0,9,0,3,1,0,0,2,0,9997,"",1,1,0,0,0,1,4,4,1,3,2,2,3,3,2,"",4,302,"",1,41160,57,1,1,"",300,"",1,1,2,0,0,0,0,0,1,1,1,1,2,1,1,"KEN14",28,2,1,300,"",8,0.8275194
"378","KEN0378",1,301,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,997,997,997,997,997,997,997,1,2,2,1,2011-11-12,41640,20,300,"",2,2,2,4,4,2,2,1,0,0,0,0,0,0,0,0,0,7,3,"",1,"",4,0,0,0,0,1,5,1,1,4,4,1,9,1,4,1,4,0,0,1,0,0,0,0,8,3,0,0,0,0,0,0,0,1,1,1,3,4,1,1,1,4,9,9,1,4,3,9,9,9,5,5,0,10,99,99,99,99,99,5,1,1,1,1,1,3,3,3,9,9,3,1,0,3,9,9,9,9,9,9,3,9,8,1,3,0,2,3,2,9,0,9,0,3,3,0,3,3,9,3,0,3,3,3,3,3,9,0,7,7,7,7,7,-1,2,1,4,"",11,"",32,"",3,3,1,1,1,1,1,1,1,1,1,3,3,4,1,4,1,4,9,1,1,1,1,9,3,5,5,3,1,0,0,0,0,0,0,1,1,0,3,3,3,0,0,0,4,1,3,1,0,0,1,0,0,0,0,7,0,0,4,4,4,9,9,2,"",1,5,"",9999,"",3,0,9,3,3,3,3,3,1,4,3,1,1,4,3,1,1,1,1,3,9,9,1,1,1,5,5,1,1,1,1,1,300,"",0,5,5,0,0,0,0,0,0,9,3,1,0,0,2,0,9997,"",1,0,0,0,0,2,1,0,0,1,2,2,3,3,5,"",4,302,"",9999,44460,47,2,1,"",300,"",3,1,1,0,0,0,0,0,1,1,1,1,2,1,1,"KEN14",28,2,1,300,"",8,0.8275194
"379","KEN0379",1,301,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,997,997,997,997,997,997,997,1,2,4,1,2011-11-12,37800,26,300,"",1,1,2,4,4,1,1,1,0,2,1,0,4,1,4,3,3,1,4,"",1,"",4,4,3,0,2,2,1,4,4,4,4,1,1,4,4,1,4,0,0,4,4,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,3,3,1,1,1,1,4,4,4,4,2,2,3,3,3,8,1,10,99,6,99,4,5,1,1,1,4,1,5,0,3,3,3,9,3,0,3,0,3,3,3,2,0,3,3,9,2,2,1,1,0,1,3,1,0,1,0,0,0,1,1,0,9,3,1,3,1,1,2,3,0,0,0,0,0,0,0,1,0,0,7,"",16,"",17,"",0,1,3,3,1,1,4,4,4,3,1,4,4,4,4,1,1,4,4,1,1,1,1,1,3,3,1,5,1,0,0,0,0,0,0,0,1,0,3,3,3,0,0,0,4,3,1,1,3,1,3,3,1,1,1,7,0,0,3,3,1,2,2,9999,"",4,2,"",7,"",3,0,4,3,3,3,3,3,1,4,-1,1,3,3,1,1,1,1,1,1,1,5,1,5,5,5,3,3,3,1,1,2,300,"",1,1,5,1,1,1,9,9,9,0,3,1,1,2,2,0,9997,"",1,0,0,0,0,1,4,1,1,3,2,2,3,4,6,"",4,302,"",1,40860,51,2,1,"",300,"",1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,"KEN15",32,1,1,300,"",6,0.8275194
"380","KEN0380",1,301,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,997,997,997,997,997,997,997,2,1,4,1,2011-11-12,41820,26,300,"",1,1,2,4,4,1,1,1,0,0,2,0,3,0,0,0,0,7,4,"",1,"",3,3,0,0,0,0,1,3,3,3,4,4,1,4,1,2,5,0,0,0,3,0,0,0,1,4,1,1,0,0,0,0,0,1,5,1,3,1,1,4,4,1,1,4,1,4,2,2,4,3,6,4,2,9,99,8,6,0,8,2,1,2,1,1,4,0,2,0,0,0,3,3,0,3,0,0,0,0,1,0,0,0,2,2,3,0,3,0,2,1,3,0,0,3,2,0,3,0,3,3,0,3,2,2,2,3,1,2,0,1,0,3,0,0,0,0,1,"",24,"",26,"",9,1,1,1,1,1,4,4,4,4,1,1,3,4,4,4,3,3,4,4,4,4,4,4,1,2,1,4,4,7,7,7,7,7,7,0,0,0,1,3,0,0,0,0,4,1,4,4,0,1,1,1,1,1,1,1,1,2,4,4,4,3,3,3,"",1,5,"",7,"",1,0,1,3,2,4,4,4,9,1,3,3,1,3,2,1,3,3,3,1,1,4,1,4,3,9,9,9,9,9,9,1,300,"",0,1,2,1,1,1,0,1,0,0,3,2,1,0,2,1,302,"",1,1,1,0,0,1,4,4,1,4,2,2,1,4,2,"",4,9999,"",1,44760,49,1,1,"",4,"",1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,"KEN15",32,1,1,300,"",6,0.8275194
"381","KEN0381",1,301,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,997,997,997,997,997,997,997,2,1,1,1,2011-11-12,37080,55,300,"",1,1,2,2,3,5,4,1,1,0,2,0,3,0,0,0,0,7,0,"",1,"",4,0,0,0,3,2,5,4,4,4,4,4,1,4,1,5,5,0,1,2,3,0,0,0,1,4,1,1,1,0,0,0,0,1,4,1,3,1,1,4,4,4,4,4,4,1,4,4,4,3,5,2,0,10,99,99,99,99,99,4,1,1,1,4,5,1,1,0,0,0,1,0,9,2,2,2,1,1,1,1,0,1,2,2,3,3,3,3,3,2,1,3,0,3,0,0,3,3,3,3,0,1,3,2,2,3,1,1,0,0,1,2,0,0,0,0,8,"",4,"",9996,"",3,1,1,1,1,1,3,4,4,1,1,1,1,4,4,2,3,3,9,1,1,1,1,1,1,1,1,4,2,7,7,7,7,7,7,0,0,0,0,3,0,0,0,0,4,4,3,1,1,1,0,0,0,0,0,1,1,9,4,4,4,3,3,2,"",1,6,"",9999,"",0,7,4,4,3,4,4,4,9,1,4,3,1,3,4,4,4,4,1,4,3,4,1,4,4,5,4,4,4,4,4,1,300,"",0,1,1,1,1,1,1,1,1,0,3,3,1,0,1,1,302,"",1,0,1,0,0,0,9,9,9,1,2,2,1,3,2,"",4,302,"",21,40020,49,1,1,"",4,"",1,1,1,0,0,0,0,0,0,1,1,1,1,3,1,"KEN16",26,1,2,305,"",8,0.8275194
"382","KEN0382",1,301,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,997,997,997,997,997,997,997,1,2,4,1,2011-11-12,41280,32,300,"",1,3,4,4,4,5,5,1,0,0,0,0,1,0,0,0,0,7,5,"",1,"",4,4,4,0,2,1,3,4,4,4,1,4,1,4,4,1,5,2,3,2,2,0,0,0,1,4,1,1,0,0,0,0,0,5,4,1,3,1,1,4,4,4,4,9,4,1,2,3,4,3,5,3,1,9,99,8,7,1,8,2,1,2,1,1,5,2,2,1,9,0,2,0,2,2,2,3,3,3,1,0,0,1,2,4,2,2,1,0,2,2,1,1,9,9,9,1,3,1,3,2,1,1,2,2,2,2,1,1,0,0,0,0,0,0,0,0,4,"",8,"",24,"",1,1,1,1,1,1,3,3,3,3,1,1,3,4,4,3,3,3,4,3,3,4,2,9,1,3,2,4,4,7,7,7,7,7,7,0,0,0,0,3,0,0,0,0,3,3,1,1,3,3,3,3,0,0,0,1,1,9,2,4,4,3,3,7,"",1,4,"",6,"",2,0,1,4,4,4,4,9,1,3,3,3,1,2,2,2,2,2,2,2,3,4,1,4,3,5,9,3,3,4,4,1,300,"",1,5,5,1,1,1,1,1,1,0,3,2,2,1,2,0,9997,"",1,1,1,0,0,1,4,4,2,4,1,1,3,6,2,"",4,9999,"",1,44400,52,2,1,"",4,"",1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,"KEN16",26,1,2,305,"",8,0.8275194
"383","KEN0383",1,301,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,997,997,997,997,997,997,997,2,1,2,1,2011-11-12,42120,38,300,"",2,2,2,4,4,4,4,2,0,0,0,0,3,0,0,0,0,7,10,"NO  EVIDENCE OF WHO ARE AFTER THEM",3,"",4,0,0,0,3,2,1,4,4,4,1,4,1,4,1,1,4,1,3,3,3,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,3,1,1,4,1,4,1,4,4,1,3,3,1,3,5,3,5,10,9,7,6,5,10,5,5,5,1,1,1,0,1,1,1,1,3,3,0,0,0,0,0,0,0,2,0,0,2,4,2,1,1,1,2,0,0,0,0,0,1,3,3,0,0,3,2,2,1,2,2,2,2,2,1,0,0,0,0,2,0,0,7,"",23,"",24,"",3,2,1,1,1,1,4,4,4,4,1,1,4,4,4,4,4,4,4,1,1,3,3,3,3,3,3,3,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,2,2,3,3,3,3,1,1,1,7,1,0,3,3,3,2,2,8,"",2,2,"",15,"",3,2,1,3,3,3,3,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,300,"",0,5,5,0,1,1,1,1,1,1,3,3,3,3,3,1,308,"",1,0,0,0,0,1,4,0,1,2,2,2,3,4,8,"",4,308,"",21,45720,60,1,1,"",300,"",1,1,3,0,0,0,0,0,0,1,1,1,1,1,1,"KEN13",28,1,1,300,"",6,0.8275194
"384","KEN0384",1,301,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,997,997,997,997,997,997,997,1,2,3,1,2011-11-12,37440,60,300,"",2,2,2,4,4,9,9,1,0,2,2,2,3,2,2,2,0,1,3,"",3,"",4,4,0,0,3,2,5,4,4,4,1,4,1,4,4,1,4,1,1,3,3,1,1,0,1,1,0,0,0,0,0,0,0,1,9,1,3,2,1,4,1,1,1,1,1,4,2,1,4,2,5,3,2,10,10,99,99,99,99,5,1,5,1,1,5,0,0,1,1,1,3,3,0,0,0,0,2,2,1,1,1,1,4,4,3,0,0,0,9,0,0,0,0,2,2,2,2,2,9,3,2,2,2,2,2,2,2,2,7,7,7,7,7,0,0,0,8,"",5,"",11,"",2,4,2,1,1,2,2,2,4,3,1,3,2,3,3,3,3,3,4,3,1,1,1,9,1,3,3,3,3,7,7,7,7,7,7,3,3,3,3,3,2,0,0,0,4,2,4,1,3,3,3,3,1,1,1,7,1,0,2,2,3,3,3,9,"SELFISHNESS",1,2,"",16,"GOVERNMENT",3,0,1,4,4,4,4,4,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,1,300,"",3,3,2,1,1,1,1,1,0,0,3,2,2,2,3,1,302,"",1,1,0,0,0,1,4,0,1,2,2,2,2,0,2,"",4,302,"",5,41460,67,2,1,"",300,"",1,1,4,0,0,0,0,0,0,1,1,1,1,1,1,"KEN13",28,1,1,300,"",6,0.8275194
"385","KEN0385",2,301,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,997,997,997,997,997,997,997,2,1,4,1,2011-11-16,54300,50,300,"",1,1,3,4,4,2,2,1,0,0,0,0,2,0,0,0,0,7,7,"",1,"",4,4,3,0,3,2,1,4,4,4,2,3,2,3,3,2,3,2,2,3,4,0,0,0,1,3,1,0,0,2,2,2,3,4,2,1,3,2,2,3,2,2,2,2,3,2,3,2,4,4,4,2,2,8,6,7,7,5,8,1,4,4,2,2,2,2,2,0,2,0,2,0,0,3,0,2,1,2,2,2,0,0,3,1,2,2,2,2,2,1,1,1,0,2,2,2,3,2,2,2,0,1,1,1,1,1,1,1,3,3,0,0,0,2,0,0,24,"",27,"",9996,"",2,3,1,3,1,1,3,3,3,3,1,3,3,3,4,4,4,4,4,3,3,3,1,3,2,2,3,3,3,0,0,2,3,0,0,2,2,3,3,3,3,0,0,0,4,3,2,3,3,3,3,3,1,1,1,1,1,0,3,3,3,2,3,3,"",2,6,"",13,"",3,0,3,4,4,4,4,4,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,2,3,4,4,1,300,"",0,1,5,1,1,1,1,1,1,0,2,2,2,2,2,0,9997,"",1,1,0,0,0,1,4,4,4,2,3,2,3,5,12,"FULL GOSPEL CHURCH",4,302,"",1,57900,60,1,1,"",1,"",1,1,2,0,0,0,0,0,0,1,1,1,1,1,1,"KEN15",32,1,1,300,"",6,1.68554225
